Date,Open,High,Low,Close,Adj Close,Volume
2022-12-16,61.029999,61.480000,60.540001,60.619999,60.386440,4148900
2022-12-19,60.419998,60.900002,60.090000,60.459999,60.227055,2357200
2022-12-20,60.459999,60.700001,60.060001,60.119999,59.888367,1936600
2022-12-21,60.450001,61.860001,60.290001,61.509998,61.273010,1511300
2022-12-22,61.139999,61.139999,60.070000,61.060001,60.824745,1373100
2022-12-23,60.900002,61.560001,60.619999,61.279999,61.043896,735800
2022-12-27,61.330002,61.470001,60.700001,60.980000,60.745052,1119600
2022-12-28,61.220001,61.639999,60.630001,60.700001,60.466133,1015100
2022-12-29,61.270000,62.119999,61.220001,61.869999,61.631622,920200
2022-12-30,61.400002,61.560001,60.740002,61.349998,61.113628,1187900
2023-01-03,61.529999,61.860001,61.049999,61.759998,61.522045,1596000
2023-01-04,62.230000,62.660000,61.369999,61.650002,61.412472,2093300
2023-01-05,61.220001,61.369999,60.119999,60.240002,60.007908,1724300
2023-01-06,60.900002,61.810001,60.509998,61.650002,61.412472,1536000
2023-01-09,61.930000,63.209999,61.759998,62.610001,62.368774,2466400
2023-01-10,62.480000,63.080002,62.230000,62.540001,62.299046,1291100
2023-01-11,62.730000,63.340000,62.730000,63.020000,62.777195,2482400
2023-01-12,63.160000,63.250000,62.180000,62.990002,62.747311,2558000
2023-01-13,62.419998,63.669998,62.320000,63.349998,63.105923,2882000
2023-01-17,63.150002,63.720001,62.840000,63.369999,63.125843,2909300
2023-01-18,63.450001,63.900002,62.709999,62.799999,62.558041,3289400
2023-01-19,62.169998,62.520000,60.950001,61.000000,60.764977,1617000
2023-01-20,61.000000,62.119999,60.639999,62.060001,61.820892,2766500
2023-01-23,61.910000,62.790001,61.529999,62.320000,62.079891,2227100
2023-01-24,62.419998,62.509998,61.759998,61.919998,61.681431,3403100
2023-01-25,58.950001,58.950001,55.900002,58.299999,58.075378,8213100
2023-01-26,57.880001,60.169998,57.490002,60.110001,59.878407,4697700
2023-01-27,59.810001,60.669998,59.619999,60.500000,60.266903,3123600
2023-01-30,60.480000,60.619999,59.320000,59.650002,59.420177,2268300
2023-01-31,59.849998,60.189999,59.369999,60.189999,59.958096,2587000
2023-02-01,60.189999,60.349998,58.970001,59.500000,59.270756,2492900
2023-02-02,59.740002,60.650002,59.639999,60.570000,60.336632,2331000
2023-02-03,59.900002,60.990002,59.830002,60.549999,60.316711,1639100
2023-02-06,60.029999,60.279999,59.209999,59.299999,59.071526,1490700
2023-02-07,59.299999,60.189999,58.700001,59.950001,59.719021,2477900
2023-02-08,59.799999,60.090000,59.439999,59.639999,59.410217,1851800
2023-02-09,59.840000,59.990002,58.779999,58.980000,58.752758,1590400
2023-02-10,58.599998,59.650002,58.509998,59.619999,59.390293,2041000
2023-02-13,59.889999,60.139999,59.160000,59.590000,59.360409,1974500
2023-02-14,59.540001,59.970001,58.430000,58.619999,58.394146,1870300
2023-02-15,58.310001,59.220001,58.270000,59.160000,58.932064,1732800
2023-02-16,58.869999,59.099998,58.380001,58.439999,58.214840,1167300
2023-02-17,58.250000,58.639999,58.080002,58.560001,58.334377,1148300
2023-02-21,57.930000,58.020000,56.509998,56.779999,56.561234,3089000
2023-02-22,56.959999,57.230000,56.540001,57.099998,56.880001,2670100
2023-02-23,57.240002,57.529999,56.570000,57.200001,56.979618,1909400
2023-02-24,56.840000,57.119999,56.580002,57.049999,56.830196,1160600
2023-02-27,57.610001,57.750000,56.340000,56.349998,56.132893,1328800
2023-02-28,56.389999,56.480000,55.980000,56.060001,55.844009,3278200
2023-03-01,55.790001,56.250000,55.410000,55.549999,55.335976,2272500
2023-03-02,55.090000,56.110001,55.060001,56.000000,55.784241,2043400
2023-03-03,56.250000,56.330002,55.799999,56.220001,56.003395,2373700
2023-03-06,56.340000,56.709999,55.959999,56.070000,55.853970,2277600
2023-03-07,55.959999,56.220001,54.950001,55.009998,54.798054,1914500
2023-03-08,55.000000,55.400002,54.820000,55.130001,54.917595,1859000
2023-03-09,55.250000,55.389999,54.090000,54.320000,54.110714,2524600
2023-03-10,53.900002,53.900002,52.200001,52.599998,52.397339,3462200
2023-03-13,52.459999,53.029999,51.930000,51.970001,51.769768,3742400
2023-03-14,53.220001,53.639999,52.439999,52.759998,52.556721,2754700
2023-03-15,51.689999,52.459999,51.459999,51.910000,51.709999,2629800
2023-03-16,51.470001,53.549999,51.099998,53.110001,53.110001,2856700
2023-03-17,53.189999,53.849998,52.150002,52.750000,52.750000,5554900
2023-03-20,52.669998,53.220001,52.540001,52.919998,52.919998,2829100
2023-03-21,53.689999,54.279999,53.349998,54.009998,54.009998,2606900
2023-03-22,54.009998,54.430000,52.930000,52.939999,52.939999,2309300
2023-03-23,52.820000,53.099998,52.119999,52.490002,52.490002,2829100
2023-03-24,52.049999,53.070000,52.000000,53.070000,53.070000,2892500
2023-03-27,53.610001,53.700001,53.119999,53.250000,53.250000,1329900
2023-03-28,53.000000,53.240002,52.630001,52.939999,52.939999,2570200
2023-03-29,53.470001,54.279999,53.349998,54.090000,54.090000,2123400
2023-03-30,54.320000,54.790001,53.950001,54.029999,54.029999,2599600
2023-03-31,54.369999,54.700001,54.029999,54.669998,54.669998,2895700
2023-04-03,54.369999,54.599998,54.029999,54.400002,54.400002,3159100
2023-04-04,54.430000,54.939999,54.240002,54.700001,54.700001,2515800
2023-04-05,54.660000,55.090000,54.299999,54.560001,54.560001,2933300
2023-04-06,54.630001,55.040001,54.369999,54.900002,54.900002,2440100
2023-04-10,54.439999,54.720001,53.980000,54.380001,54.380001,1641200
2023-04-11,54.380001,54.700001,54.099998,54.349998,54.349998,2566700
2023-04-12,54.770000,55.380001,54.680000,54.889999,54.889999,2942200
2023-04-13,54.889999,55.650002,54.669998,55.560001,55.560001,3513800
2023-04-14,55.500000,55.599998,54.880001,55.160000,55.160000,6008200
2023-04-17,54.869999,55.900002,54.860001,55.770000,55.770000,3195600
2023-04-18,55.730000,56.209999,55.509998,55.610001,55.610001,3626400
2023-04-19,57.000000,57.990002,56.830002,57.360001,57.360001,5782900
2023-04-20,57.380001,57.400002,56.060001,56.490002,56.490002,3453900
2023-04-21,56.340000,57.000000,56.119999,56.970001,56.970001,3163900
2023-04-24,57.090000,57.209999,56.189999,56.580002,56.580002,1775400
2023-04-25,56.299999,56.430000,55.209999,55.270000,55.270000,2103900
2023-04-26,54.939999,55.279999,53.849998,54.130001,54.130001,2077000
2023-04-27,54.240002,54.930000,54.020000,54.820000,54.820000,1591600
2023-04-28,54.630001,55.410000,54.540001,55.369999,55.369999,2267800
2023-05-01,55.240002,55.410000,54.910000,55.049999,55.049999,1237700
2023-05-02,54.689999,54.810001,53.410000,54.270000,54.270000,1745700
2023-05-03,54.459999,54.849998,53.509998,53.560001,53.560001,1609100
2023-05-04,53.529999,53.980000,53.380001,53.790001,53.790001,1615800
2023-05-05,54.290001,55.000000,54.230000,54.919998,54.919998,1978600
2023-05-08,55.000000,55.139999,54.639999,54.919998,54.919998,1906100
2023-05-09,54.669998,55.070000,54.549999,54.560001,54.560001,1040300
2023-05-10,55.139999,55.270000,54.470001,55.200001,55.200001,1778300
2023-05-11,55.070000,55.259998,54.500000,55.220001,55.220001,1387700
2023-05-12,55.400002,55.660000,54.990002,55.139999,55.139999,2225000
2023-05-15,55.299999,55.529999,55.000000,55.169998,55.169998,1224100
2023-05-16,54.869999,55.009998,54.540001,54.540001,54.540001,1213900
2023-05-17,54.680000,55.009998,53.939999,54.930000,54.930000,1858800
2023-05-18,54.980000,55.299999,54.470001,55.220001,55.220001,1620200
2023-05-19,55.349998,55.669998,54.939999,55.320000,55.320000,1677900
2023-05-22,55.320000,55.709999,55.029999,55.459999,55.459999,1439000
2023-05-23,55.320000,55.380001,54.209999,54.400002,54.400002,1939900
2023-05-24,54.009998,54.180000,53.660000,53.860001,53.860001,1664100
2023-05-25,53.680000,53.790001,53.080002,53.180000,53.180000,2287800
2023-05-26,53.040001,54.450001,52.990002,54.220001,54.220001,3542700
2023-05-30,54.419998,55.020000,54.270000,54.950001,54.950001,3824300
2023-05-31,54.919998,55.619999,54.360001,55.349998,55.349998,7539700
2023-06-01,55.200001,55.490002,54.900002,55.029999,55.029999,2643500
2023-06-02,55.250000,56.470001,55.250000,56.330002,56.330002,2584200
2023-06-05,56.250000,56.360001,55.730000,56.020000,56.020000,2420700
2023-06-06,56.020000,57.220001,55.900002,57.130001,57.130001,2745100
2023-06-07,57.400002,58.029999,57.020000,57.049999,57.049999,3605800
2023-06-08,56.790001,57.759998,56.560001,57.669998,57.669998,2844100
2023-06-09,57.820000,57.889999,57.450001,57.830002,57.830002,1573900
2023-06-12,52.099998,53.450001,50.029999,51.000000,51.000000,16708800
